feature,importance
eng_mismatch_count,0.22334589
eng_match_fraction,0.20852664
eng_mismatch_fraction,0.08986953
eng_mismatch_pos_4,0.037643906
eng_mismatch_pos_2,0.012348987
eng_mismatch_type_G_to_A,0.009917187
target_trinuc_TTT,0.009717811
guide_trinuc_TTT,0.008895093
eng_mismatch_fraction_proximal,0.008345214
guide_target_hamming_dist_computed,0.008218156
eng_mismatch_type_C_to_G,0.008093364
target_len_eng,0.0075763846
eng_first_mismatch_pos,0.0072170175
eng_mismatch_fraction_distal,0.0071513057
eng_longest_match,0.0070379456
guide_longest_homopolymer,0.0064723683
eng_mismatch_count_distal,0.0064411117
guide_trinuc_AAA,0.006313448
eng_longest_mismatch,0.005611241
guide_gc_first_5,0.0055304607
eng_mismatch_type_A_to_C,0.005306312
eng_mismatch_type_T_to_G,0.0051631606
guide_dinuc_GA,0.005126245
target_longest_homopolymer,0.005062726
guide_gc_eng,0.0042890655
guide_dinuc_GT,0.004222419
guide_dinuc_AG,0.004194622
guide_gc_second_half,0.0041693235
guide_gc_first_half,0.0041659577
eng_last_mismatch_pos,0.004121165
guide_target_hamming_dist_raw,0.004117168
eng_mismatch_type_A_to_T,0.00408628
guide_dinuc_TG,0.0040773833
guide_dinuc_TA,0.004040571
eng_mismatch_count_proximal,0.0039866706
guide_dinuc_GG,0.0039855274
eng_mismatch_pos_17,0.0039846175
guide_trinuc_TAT,0.0039650775
guide_dinuc_GC,0.0039595594
guide_gc_last_5,0.0039503137
eng_mismatch_type_T_to_C,0.0039367527
guide_dinuc_AT,0.0039132703
guide_dinuc_CC,0.0038479622
target_dinuc_GC,0.0038010075
guide_trinuc_CCC,0.0037531762
eng_mismatch_type_G_to_T,0.0037377742
target_dinuc_TA,0.003643106
guide_dinuc_CG,0.003616344
guide_C_fraction,0.0035902602
guide_trinuc_GGG,0.0035707029
guide_trinuc_CGC,0.0035702027
guide_trinuc_GCG,0.0035557416
target_trinuc_ATA,0.003543255
target_dinuc_AG,0.0034772782
target_A_fraction,0.0034355505
guide_trinuc_ATA,0.0034204354
target_trinuc_AAA,0.0033252952
guide_G_fraction,0.0033130485
guide_entropy,0.0032717253
target_gc_second_half,0.003268835
guide_dinuc_TT,0.0032685755
target_dinuc_CG,0.0032623243
crRNA_GC_content,0.003217462
target_gc_first_5,0.0031940676
guide_dinuc_CA,0.0031685021
guide_dinuc_TC,0.0031463641
guide_A_fraction,0.003125248
guide_T_fraction,0.0030305907
target_dinuc_GA,0.003026045
guide_dinuc_CT,0.0030174963
guide_dinuc_AC,0.0029900956
guide_dinuc_AA,0.0029865322
eng_mismatch_pos_6,0.002973093
target_dinuc_GT,0.0029287261
eng_mismatch_pos_22,0.0028582448
target_trinuc_CCC,0.0027643573
target_C_fraction,0.0027444921
target_gc_last_5,0.0026973577
target_dinuc_AC,0.0026462416
target_G_fraction,0.0026031616
target_gc_first_half,0.0025688272
target_dinuc_TT,0.0025407756
eng_mismatch_pos_3,0.0025289806
target_dinuc_GG,0.0024938937
target_trinuc_TAT,0.0024893612
target_dinuc_CT,0.002399141
target_dinuc_CC,0.0023919658
target_dinuc_TG,0.0023881153
eng_gc_difference,0.0023793196
target_dinuc_TC,0.002368952
eng_mismatch_pos_14,0.002362074
target_dinuc_AT,0.002296186
target_gc_eng,0.0022741011
target_trinuc_CGC,0.002253992
eng_mismatch_type_C_to_T,0.002227448
eng_mismatch_type_A_to_G,0.0022233496
target_dinuc_CA,0.002221246
target_dinuc_AA,0.0022174024
guide_unique_base_count,0.0021768436
target_trinuc_GCG,0.0021558786
target_length,0.0021278881
target_T_fraction,0.0021206895
eng_mismatch_pos_15,0.002112286
eng_mismatch_type_C_to_A,0.0020935747
eng_mismatch_pos_8,0.0020777148
eng_mismatch_pos_23,0.0019822503
target_trinuc_GGG,0.0019732043
target_entropy,0.0019650778
eng_mismatch_pos_24,0.00191831
eng_mismatch_type_G_to_C,0.0019013198
eng_mismatch_pos_25,0.0018812821
target_GC_content,0.001874122
eng_mismatch_type_T_to_A,0.0018085
eng_mismatch_pos_7,0.0017971109
eng_mismatch_pos_21,0.0017353782
eng_mismatch_pos_18,0.0017309989
eng_mismatch_pos_5,0.0017251462
eng_mismatch_pos_10,0.001677575
eng_mismatch_pos_19,0.0015722163
eng_mismatch_pos_16,0.0015482826
eng_mismatch_pos_1,0.0015138134
eng_mismatch_pos_12,0.0014867876
eng_mismatch_fraction_middle,0.0014553729
eng_mismatch_pos_20,0.0014416137
target_unique_base_count,0.0013828002
eng_mismatch_pos_13,0.0013331509
eng_mismatch_count_middle,0.0013222485
eng_mismatch_pos_9,0.001249735
eng_aligned_length,0.0012322379
eng_mismatch_pos_11,0.0012121367
eng_length_difference,0.00030146667
