feature,importance
eng_mismatch_count,0.22334589
eng_match_fraction,0.20852664
eng_mismatch_fraction,0.08986953
eng_mismatch_pos_4,0.037643906
eng_mismatch_pos_2,0.012348987
eng_mismatch_type_G_to_A,0.009917187
target_trinuc_TTT,0.009717811
guide_trinuc_TTT,0.008895093
eng_mismatch_fraction_proximal,0.008345214
guide_target_hamming_dist_computed,0.008218156
eng_mismatch_type_C_to_G,0.008093364
target_len_eng,0.0075763846
eng_first_mismatch_pos,0.0072170175
eng_mismatch_fraction_distal,0.0071513057
eng_longest_match,0.0070379456
guide_longest_homopolymer,0.0064723683
eng_mismatch_count_distal,0.0064411117
guide_trinuc_AAA,0.006313448
eng_longest_mismatch,0.005611241
guide_gc_first_5,0.0055304607
eng_mismatch_type_A_to_C,0.005306312
eng_mismatch_type_T_to_G,0.0051631606
guide_dinuc_GA,0.005126245
target_longest_homopolymer,0.005062726
guide_gc_eng,0.0042890655
guide_dinuc_GT,0.004222419
guide_dinuc_AG,0.004194622
guide_gc_second_half,0.0041693235
guide_gc_first_half,0.0041659577
eng_last_mismatch_pos,0.004121165
