variant,feature_name,category,active_after_constant_filter
selected_v2_1,aligned_difference_count,pair_alignment,yes
selected_v2_1,substitution_count,pair_alignment,yes
selected_v2_1,gap_count_target,pair_alignment,yes
selected_v2_1,gap_count_guide,pair_alignment,no
selected_v2_1,pam_difference_count,pair_alignment,yes
selected_v2_1,spacer_difference_count,pair_alignment,yes
selected_v2_1,first_difference_position_1based,pair_alignment,yes
selected_v2_1,last_difference_position_1based,pair_alignment,yes
selected_v2_1,longest_match_run,pair_alignment,yes
selected_v2_1,longest_substitution_run,pair_alignment,yes
selected_v2_1,longest_target_gap_run,pair_alignment,yes
selected_v2_1,difference_pos_01,pair_position,yes
selected_v2_1,substitution_pos_01,pair_position,yes
selected_v2_1,target_gap_pos_01,pair_position,no
selected_v2_1,difference_pos_02,pair_position,yes
selected_v2_1,substitution_pos_02,pair_position,yes
selected_v2_1,target_gap_pos_02,pair_position,no
selected_v2_1,difference_pos_03,pair_position,yes
selected_v2_1,substitution_pos_03,pair_position,yes
selected_v2_1,target_gap_pos_03,pair_position,yes
selected_v2_1,difference_pos_04,pair_position,yes
selected_v2_1,substitution_pos_04,pair_position,yes
selected_v2_1,target_gap_pos_04,pair_position,yes
selected_v2_1,difference_pos_05,pair_position,yes
selected_v2_1,substitution_pos_05,pair_position,yes
selected_v2_1,target_gap_pos_05,pair_position,yes
selected_v2_1,difference_pos_06,pair_position,yes
selected_v2_1,substitution_pos_06,pair_position,yes
selected_v2_1,target_gap_pos_06,pair_position,yes
selected_v2_1,difference_pos_07,pair_position,yes
selected_v2_1,substitution_pos_07,pair_position,yes
selected_v2_1,target_gap_pos_07,pair_position,yes
selected_v2_1,difference_pos_08,pair_position,yes
selected_v2_1,substitution_pos_08,pair_position,yes
selected_v2_1,target_gap_pos_08,pair_position,yes
selected_v2_1,difference_pos_09,pair_position,yes
selected_v2_1,substitution_pos_09,pair_position,yes
selected_v2_1,target_gap_pos_09,pair_position,yes
selected_v2_1,difference_pos_10,pair_position,yes
selected_v2_1,substitution_pos_10,pair_position,yes
selected_v2_1,target_gap_pos_10,pair_position,yes
selected_v2_1,difference_pos_11,pair_position,yes
selected_v2_1,substitution_pos_11,pair_position,yes
selected_v2_1,target_gap_pos_11,pair_position,yes
selected_v2_1,difference_pos_12,pair_position,yes
selected_v2_1,substitution_pos_12,pair_position,yes
selected_v2_1,target_gap_pos_12,pair_position,yes
selected_v2_1,difference_pos_13,pair_position,yes
selected_v2_1,substitution_pos_13,pair_position,yes
selected_v2_1,target_gap_pos_13,pair_position,yes
selected_v2_1,difference_pos_14,pair_position,yes
selected_v2_1,substitution_pos_14,pair_position,yes
selected_v2_1,target_gap_pos_14,pair_position,yes
selected_v2_1,difference_pos_15,pair_position,yes
selected_v2_1,substitution_pos_15,pair_position,yes
selected_v2_1,target_gap_pos_15,pair_position,yes
selected_v2_1,difference_pos_16,pair_position,yes
selected_v2_1,substitution_pos_16,pair_position,yes
selected_v2_1,target_gap_pos_16,pair_position,yes
selected_v2_1,difference_pos_17,pair_position,yes
selected_v2_1,substitution_pos_17,pair_position,yes
selected_v2_1,target_gap_pos_17,pair_position,yes
selected_v2_1,difference_pos_18,pair_position,yes
selected_v2_1,substitution_pos_18,pair_position,yes
selected_v2_1,target_gap_pos_18,pair_position,yes
selected_v2_1,difference_pos_19,pair_position,yes
selected_v2_1,substitution_pos_19,pair_position,yes
selected_v2_1,target_gap_pos_19,pair_position,yes
selected_v2_1,difference_pos_20,pair_position,yes
selected_v2_1,substitution_pos_20,pair_position,yes
