variant,feature_name,category,active_after_constant_filter
selected_v2_1,aligned_difference_count,pair_alignment,yes
selected_v2_1,substitution_count,pair_alignment,yes
selected_v2_1,gap_count_target,pair_alignment,yes
selected_v2_1,gap_count_guide,pair_alignment,no
selected_v2_1,pam_difference_count,pair_alignment,yes
selected_v2_1,spacer_difference_count,pair_alignment,yes
selected_v2_1,first_difference_position_1based,pair_alignment,yes
selected_v2_1,last_difference_position_1based,pair_alignment,yes
selected_v2_1,longest_match_run,pair_alignment,yes
selected_v2_1,longest_substitution_run,pair_alignment,yes
selected_v2_1,longest_target_gap_run,pair_alignment,yes
selected_v2_1,sub_A_to_C_count,substitution_type,yes
selected_v2_1,sub_A_to_G_count,substitution_type,yes
selected_v2_1,sub_A_to_T_count,substitution_type,yes
selected_v2_1,sub_C_to_A_count,substitution_type,yes
selected_v2_1,sub_C_to_G_count,substitution_type,yes
selected_v2_1,sub_C_to_T_count,substitution_type,yes
selected_v2_1,sub_G_to_A_count,substitution_type,yes
selected_v2_1,sub_G_to_C_count,substitution_type,yes
selected_v2_1,sub_G_to_T_count,substitution_type,yes
selected_v2_1,sub_T_to_A_count,substitution_type,yes
selected_v2_1,sub_T_to_C_count,substitution_type,yes
selected_v2_1,sub_T_to_G_count,substitution_type,yes
selected_v2_1,guide_context_unique_base_count,sequence_context,yes
selected_v2_1,guide_context_gc_first_half,sequence_context,yes
selected_v2_1,guide_context_gc_second_half,sequence_context,yes
selected_v2_1,guide_context_gc_first_5nt,sequence_context,yes
selected_v2_1,guide_context_gc_last_5nt,sequence_context,yes
selected_v2_1,guide_context_dinuc_AA_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_AC_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_AG_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_AT_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_CA_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_CC_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_CG_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_CT_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_GA_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_GC_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_GG_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_GT_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_TA_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_TC_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_TG_frequency,sequence_context,yes
selected_v2_1,guide_context_dinuc_TT_frequency,sequence_context,yes
selected_v2_1,guide_context_trinuc_AAA_frequency,sequence_context,yes
selected_v2_1,guide_context_trinuc_CCC_frequency,sequence_context,yes
selected_v2_1,guide_context_trinuc_GGG_frequency,sequence_context,yes
selected_v2_1,guide_context_trinuc_TTT_frequency,sequence_context,yes
selected_v2_1,guide_context_trinuc_GCG_frequency,sequence_context,yes
selected_v2_1,guide_context_trinuc_CGC_frequency,sequence_context,yes
selected_v2_1,guide_context_trinuc_TAT_frequency,sequence_context,yes
selected_v2_1,guide_context_trinuc_ATA_frequency,sequence_context,yes
selected_v2_1,target_context_unique_base_count,sequence_context,yes
selected_v2_1,target_context_gc_first_half,sequence_context,yes
selected_v2_1,target_context_gc_second_half,sequence_context,yes
selected_v2_1,target_context_gc_first_5nt,sequence_context,yes
selected_v2_1,target_context_gc_last_5nt,sequence_context,yes
selected_v2_1,target_context_dinuc_AA_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_AC_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_AG_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_AT_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_CA_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_CC_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_CG_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_CT_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_GA_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_GC_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_GG_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_GT_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_TA_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_TC_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_TG_frequency,sequence_context,yes
selected_v2_1,target_context_dinuc_TT_frequency,sequence_context,yes
selected_v2_1,target_context_trinuc_AAA_frequency,sequence_context,yes
selected_v2_1,target_context_trinuc_CCC_frequency,sequence_context,yes
selected_v2_1,target_context_trinuc_GGG_frequency,sequence_context,yes
selected_v2_1,target_context_trinuc_TTT_frequency,sequence_context,yes
selected_v2_1,target_context_trinuc_GCG_frequency,sequence_context,yes
selected_v2_1,target_context_trinuc_CGC_frequency,sequence_context,yes
selected_v2_1,target_context_trinuc_TAT_frequency,sequence_context,yes
selected_v2_1,target_context_trinuc_ATA_frequency,sequence_context,yes
,thermo_guide_spacer_unfolding_ensemble_rna_proxy_kcal_mol,thermodynamic,
,thermo_target_local_dsDNA_separation_mfe_dna_proxy_kcal_mol,thermodynamic,
,thermo_guide_target_full_hybrid_mfe_rna_proxy_kcal_mol,thermodynamic,
,thermo_guide_target_seed6_hybrid_mfe_rna_proxy_kcal_mol,thermodynamic,
